start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733270741.9658859,1733270807.30078,10.0.0.10,10.0.0.16,56026,270336
1733270742.3053434,1733270807.2672405,10.0.0.10,10.0.0.16,58116,425984
1733270742.1443803,1733270804.337926,10.0.0.10,10.0.0.7,41010,1726464
1733270741.7861483,1733270835.1474574,10.0.0.10,10.0.0.8,54588,6188032
1733270741.6064954,1733270835.1492088,10.0.0.10,10.0.0.8,54600,5741568
1733270741.4020228,1733270833.8866112,10.0.0.10,10.0.0.8,54816,5862400
1733270741.7254477,1733270799.527931,10.0.0.11,10.0.0.15,34812,26696704
1733270745.3472402,1733270808.377654,10.0.0.11,10.0.0.16,59412,690176
1733270746.808966,1733270807.101598,10.0.0.11,10.0.0.17,58552,503808
1733270741.17245,1733270800.777388,10.0.0.11,10.0.0.18,42968,15252480
1733270741.5805266,1733270800.2618816,10.0.0.11,10.0.0.19,50212,24815616
1733270740.4445856,1733270801.0505414,10.0.0.11,10.0.0.1,36646,5716992
1733270743.2242894,1733270805.3685937,10.0.0.11,10.0.0.2,53200,385024
1733270739.4984457,1733270799.8248892,10.0.0.11,10.0.0.3,56522,22479872
1733270741.0803225,1733270810.7928064,10.0.0.11,10.0.0.4,60688,1103872
1733270741.2526655,1733270807.5473266,10.0.0.11,10.0.0.5,52176,595968
1733270742.5770216,1733270807.4941561,10.0.0.12,10.0.0.11,47168,793600
1733270740.7151718,1733270807.5511966,10.0.0.12,10.0.0.14,56170,1629184
1733270740.4828734,1733270801.8347797,10.0.0.12,10.0.0.14,56184,7384064
1733270741.9744694,1733270806.0583193,10.0.0.12,10.0.0.15,55700,2351104
1733270740.6605964,1733270795.3372169,10.0.0.12,10.0.0.16,51956,32177152
1733270741.1929572,1733270795.4367223,10.0.0.12,10.0.0.17,42950,11149312
1733270742.191145,1733270805.3586552,10.0.0.12,10.0.0.3,57040,864256
1733270742.354978,1733270805.7676826,10.0.0.12,10.0.0.3,57048,845824
1733270741.234091,1733270793.55735,10.0.0.12,10.0.0.9,33980,10335232
1733270742.334145,1733270806.5414073,10.0.0.13,10.0.0.11,37350,580608
1733270741.0238602,1733270806.3623595,10.0.0.13,10.0.0.11,41692,732160
1733270742.9294267,1733270807.6512241,10.0.0.13,10.0.0.14,40982,425984
1733270741.1110215,1733270802.5858436,10.0.0.13,10.0.0.15,60876,750592
1733270740.877014,1733270807.1933675,10.0.0.13,10.0.0.19,52668,833536
1733270740.40652,1733270794.7432497,10.0.0.13,10.0.0.1,59146,28026880
1733270740.6768284,1733270801.0517173,10.0.0.13,10.0.0.2,38166,995328
1733270742.5949812,1733270795.5832624,10.0.0.13,10.0.0.4,53856,2342912
1733270741.1803784,1733270798.3215778,10.0.0.13,10.0.0.7,41216,644096
