start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733277755.3892918,1733277807.0882432,10.0.0.1,10.0.0.2,35442,4207616
1733277755.458974,1733277807.7735548,10.0.0.1,10.0.0.3,43106,1785856
1733277755.0499485,1733277806.9753797,10.0.0.1,10.0.0.5,58484,72989696
1733277755.434392,1733277807.7005734,10.0.0.1,10.0.0.8,43880,3615744
1733277755.4412966,1733277806.6414902,10.0.0.2,10.0.0.7,50930,55492608
1733277755.216697,1733277807.2693446,10.0.0.2,10.0.0.8,33268,13179904
1733277755.236629,1733277806.2682412,10.0.0.3,10.0.0.10,44602,32144384
1733277755.0343208,1733277806.0324588,10.0.0.3,10.0.0.6,32952,31377408
1733277755.102114,1733277806.6489446,10.0.0.4,10.0.0.8,51502,22931456
1733277755.4020731,1733277807.6976128,10.0.0.5,10.0.0.3,46294,2171904
1733277755.3485312,1733277807.3038743,10.0.0.5,10.0.0.8,37370,9922560
1733277755.3395514,1733277806.520311,10.0.0.5,10.0.0.9,42078,61535232
1733277755.0039744,1733277807.715896,10.0.0.6,10.0.0.3,48282,3014656
1733277754.9661481,1733277807.3054738,10.0.0.6,10.0.0.3,48284,63058944
1733277755.0319886,1733277807.6201913,10.0.0.6,10.0.0.3,48296,3017728
1733277755.1295319,1733277806.6186156,10.0.0.7,10.0.0.1,51032,31657984
1733277755.4585323,1733277807.697591,10.0.0.7,10.0.0.3,41198,2191360
1733277755.4588408,1733277807.6650841,10.0.0.7,10.0.0.3,41214,2170880
1733277755.3210113,1733277807.0822167,10.0.0.7,10.0.0.5,37486,6188032
1733277755.3023727,1733277807.5641212,10.0.0.7,10.0.0.6,59796,9965568
1733277755.4121475,1733277807.4658575,10.0.0.7,10.0.0.8,54766,7967744
1733277755.3577383,1733277807.2547023,10.0.0.7,10.0.0.8,54768,8091648
1733277755.144316,1733277807.6793046,10.0.0.8,10.0.0.3,60790,1558528
1733277755.1445446,1733277807.7818332,10.0.0.8,10.0.0.3,60802,1660928
1733277755.04043,1733277807.2139788,10.0.0.8,10.0.0.4,34144,80206848
